Task_ID,Volunteer_ID,Task_Name,Task_Status,Assigned_Date
1,19,Food Court Support,Completed,2025-08-15
2,13,Food Court Support,Completed,2025-08-15
3,9,Guest Hospitality,Completed,2025-08-15
4,6,Participant Check-In,Completed,2025-08-15
5,4,Registration Desk,Completed,2025-08-15
6,13,Security Assistance,Completed,2025-08-15
7,11,Backstage Support,Pending,2025-08-15
8,2,Food Court Support,Completed,2025-08-15
9,12,Security Assistance,Completed,2025-08-15
10,18,Stage Coordination,Completed,2025-08-15
11,16,Backstage Support,Completed,2025-08-15
12,10,Food Court Support,In Progress,2025-08-15
13,8,Food Court Support,Pending,2025-08-15
14,6,Backstage Support,Completed,2025-08-15
15,11,Participant Check-In,In Progress,2025-08-15
16,9,Crowd Management,Completed,2025-08-15
17,7,Photography Support,Completed,2025-08-15
18,16,Stage Coordination,Completed,2025-08-15
19,6,Security Assistance,Completed,2025-08-15
20,9,Crowd Management,Pending,2025-08-15
21,16,Participant Check-In,Completed,2025-08-15
22,18,Registration Desk,Completed,2025-08-15
23,17,Crowd Management,Completed,2025-08-15
24,16,Venue Setup,Completed,2025-08-15
25,20,Security Assistance,Completed,2025-08-15
26,17,Backstage Support,Completed,2025-08-15
27,9,Guest Hospitality,Completed,2025-08-15
28,20,Security Assistance,Completed,2025-08-15
29,18,Stage Coordination,In Progress,2025-08-15
30,11,Crowd Management,Completed,2025-08-15
31,1,Participant Check-In,Completed,2025-08-15
32,17,Photography Support,Completed,2025-08-15
33,19,Photography Support,Completed,2025-08-15
34,6,Security Assistance,Completed,2025-08-15
35,20,Stage Coordination,Completed,2025-08-15
36,1,Food Court Support,Completed,2025-08-15
37,4,Stage Coordination,Completed,2025-08-15
38,12,Registration Desk,Completed,2025-08-15
39,12,Photography Support,Completed,2025-08-15
40,17,Crowd Management,Completed,2025-08-15
41,1,Food Court Support,Pending,2025-08-15
42,1,Registration Desk,Completed,2025-08-15
43,2,Food Court Support,Completed,2025-08-15
44,12,Crowd Management,In Progress,2025-08-15
45,1,Venue Setup,Completed,2025-08-15
46,1,Food Court Support,Completed,2025-08-15
47,17,Security Assistance,In Progress,2025-08-15
48,18,Participant Check-In,Completed,2025-08-15
49,15,Backstage Support,Completed,2025-08-15
50,16,Crowd Management,In Progress,2025-08-15
